"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3120K,M04,THS_HD,IT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"531.0 ";"520.0 ";"529.0 ";"528.0 ";"531.0 ";"545.2 ";"547.7 ";"565.3 ";"576.8 ";"565.2 ";"575.5 ";"572.5 ";"569.2 ";"592.0 ";"597.1 ";"596.7 ";"589.8 ";"594.3 ";"581.5 ";"579.6 ";"586.0 ";"628.0 ";"593.0 ";"537.0 ";"517.0 ";"481.0 ";"450.0 ";"405.0 ";"455.0 ";"439.0 "
"A3120K,M04,THS_HD,LU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";6-Feb;6-Mar;6-Apr;6-May;6-Jan;6-Jul;7-May;7-Sep;7-Apr;7-Jul;7-May;7-Jun;7-Sep;7-Sep;8-Mar;"9.0 ";8-Aug;"10.0 ";"10.0 ";"10.0 ";"9.0 ";"10.0 ";"9.0 ";"9.0 ";"9.0 ";"10.0 ";"9.0 "
"A3120K,M04,THS_HD,MT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";6-Sep;7-Feb;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,NL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"744.0 ";"740.0 ";"710.0 ";"722.7 ";"731.0 ";"723.0 ";"762.0 ";"814.0 ";"859.0 ";"894.0 ";"988.0 ";"999.0 ";"905.0 ";"940.6 ";"987.0 ";"987.0 ";"968.0 ";"940.0 ";"918.0 ";"934.0 ";"970.0 ";"986.0 ";"905.0 ";"832.0 ";"759.0 ";"753.0 ";"715.0 ";"745.0 ";"731.0 ";"692.0 ";"666.0 ";"590.0 ";"532.0 ";"518.0 ";"512.0 ";"473.0 ";"447.0 ";"433.0 ";"432.0 ";"340.0 "
"A3120K,M04,THS_HD,PL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"918.3 p";"1136.9 ";"1217.2 ";"1166.7 ";"1053.7 ";"1190.6 ";"1231.3 ";"1084.9 ";"1061.5 ";"1106.8 ";"1182.3 ";"1033.2 ";"1006.1 ";"1090.1 ";"1003.6 ";"913.1 ";"1174.2 ";"1178.5 ";"942.2 ";"952.4 ";"1100.8 ";"1023.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,PT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"209.1 ";"209.1 ";"225.0 ";"228.0 ";"216.0 ";"216.0 ";"210.0 ";"199.0 ";"202.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,RO";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"217.1 p";"238.9 ";"332.1 ";"237.5 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,SE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"202.0 ";"205.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,SI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"43.1 ";"29.0 ";"29.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,SK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"132.0 ";"147.0 ";"156.0 ";"157.0 ";"161.0 ";"156.0 ";"161.0 ";"162.0 ";"163.0 ";"165.0 ";"163.0 ";"158.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M04,THS_HD,UK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"521.8 ";"626.6 ";"612.1 ";"578.7 ";"599.2 ";"617.1 ";"630.2 ";"611.0 ";"609.7 ";"619.5 ";"589.7 ";"637.7 ";"663.6 ";"664.9 ";"643.6 ";"594.5 ";"676.3 ";"653.2 ";"628.2 ";"595.8 ";"615.0 ";"596.0 ";"589.0 ";"596.0 ";"555.0 ";"618.0 ";"0.0 ";": ";": ";": ";": "
"A3120K,M05_M06,THS_HD,AT";"154.87 ";"158.51 ";"164.34 ";"161.95 ";"167.28 ";"172.00 ";"179.79 ";"187.50 ";"193.11 ";"200.87 ";"204.69 ";"210.84 ";"213.75 ";"215.12 ";"226.59 ";"221.99 ";"229.42 ";"227.56 ";"227.58 ";"224.21 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M05_M06,THS_HD,BE";"324.55 ";"335.98 ";"343.52 ";"353.85 ";"350.41 ";"376.54 ";"392.05 ";"401.67 ";"415.98 ";"419.76 ";"427.67 ";"430.03 ";"447.72 ";"458.20 ";"462.36 ";"463.45 ";"495.66 ";"518.59 ";"532.00 ";"546.61 ";"566.71 ";"583.59 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M05_M06,THS_HD,BG";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"55.72 ";": ";"64.10 ";"66.90 ";"58.70 ";"65.30 ";": ";"207.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M05_M06,THS_HD,DE";"1299.50 ";"1361.90 ";"1396.34 ";"1407.20 ";"1477.43 e";"1509.31 ";"1479.33 ";"1582.79 ";"1626.51 ";"1625.58 ";"1657.17 ";"1698.02 ";"1799.03 ";"1766.03 ";"1795.67 ";"1749.15 ";"1800.77 ";"1808.97 ";"1819.13 ";"1768.83 ";"1836.49 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120K,M05_M06,THS_HD,DK";"768.00 ";"793.00 ";"771.00 ";"760.00 ";"784.00 ";"795.00 ";"783.00 ";"783.00 ";"797.00 ";"826.00 ";"845.00 ";"810.00 ";"875.00 ";"880.00 ";": ";": ";": ";": ";": ";"852.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
