"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3120,M04,THS_HD,AT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"356.7 ";"387.2 ";"381.1 ";"381.9 ";"388.5 ";"373.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120,M04,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"648.9 ";"675.1 ";"712.6 ";"738.0 ";"762.5 ";"747.7 ";"741.0 ";"734.0 ";"745.3 ";"768.9 ";"728.7 ";"745.5 ";"768.2 ";"709.0 ";"740.0 ";"704.0 ";"655.9 ";"656.1 ";"626.0 ";"644.2 ";"626.0 ";"633.2 ";"638.1 ";"645.6 ";"645.0 ";"647.0 ";"628.0 ";"611.0 ";"662.0 ";"616.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3120,M04,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"252.7 ";"321.3 ";"322.0 ";"329.0 ";"348.0 ";"394.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120,M04,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"2656.1 ";"2562.7 ";"2526.8 ";"2633.4 ";"2760.6 ";"2990.5 ";"2943.2 ";"2985.1 ";"1095.9 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120,M04,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1296.0 p";"1437.0 ";"1328.0 ";"1390.0 ";"1403.0 ";"1374.0 ";"1376.0 ";"1340.0 ";"1216.0 ";"1257.0 ";"1234.0 ";"1180.0 ";"1136.0 ";"1143.0 ";"1111.0 ";"1131.0 ";"1135.0 ";"1046.0 ";"1041.0 ";"1024.0 ";"1026.0 ";"1049.0 ";"1075.0 ";"1051.0 ";"987.0 ";"1058.0 ";"1084.0 ";"1102.0 ";"1184.0 ";"1178.0 ";"1123.0 ";"1045.0 ";"1043.0 ";"1007.0 ";"1034.0 ";"0.0 ";": ";": ";": ";": "
"A3120,M04,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"147.6 ";"153.2 ";"153.0 ";"140.0 ";"138.6 ";"157.4 ";"169.3 ";"155.0 ";"152.7 ";"148.1 ";"161.3 ";"154.1 ";"183.0 ";"176.2 ";"202.7 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120,M04,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"2529.6 ";"2770.3 ";"2601.7 ";"2608.5 ";"2590.3 ";"2521.5 ";"2594.0 ";"2484.0 ";"2416.2 ";"2442.0 ";"2369.0 ";"2128.0 ";"2046.0 ";"2215.0 ";"2140.0 ";"2171.8 ";"2007.0 ";"1899.2 ";"1929.1 ";"1848.7 ";"2006.9 ";"1981.0 ";"1270.6 ";"1568.7 ";"1680.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120,M04,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"187.0 ";"194.6 ";"185.1 ";"185.8 ";"158.5 ";"158.6 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3120,M04,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1578.1 ";"1528.0 ";"1504.3 ";"1453.9 ";"1375.2 ";"1309.5 ";"1237.8 ";"1175.0 ";"1155.0 ";"1104.0 ";"1093.4 ";"1207.0 ";"1128.5 ";"1142.0 ";"1108.0 ";"1194.0 ";"1178.0 ";"1155.0 ";"1212.0 ";"1172.0 ";"1242.0 ";"1259.0 ";"1302.0 ";"1393.0 ";"1338.0 ";"1297.0 ";"1420.0 ";"1359.0 ";"1320.0 ";"1213.0 "
"A3120,M04,THS_HD,HU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"340.0 ";"391.0 ";"387.0 ";"397.0 ";"415.0 ";"491.0 ";"496.0 ";"455.0 ";"484.0 ";"453.0 ";"415.0 ";"461.0 ";"505.0 ";"443.0 ";"422.0 ";"502.0 ";"549.0 ";"652.0 ";"767.0 ";"660.0 ";"672.0 ";"711.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
