"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3132,M04,THS_HD,AT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1226.7 ";"1261.8 ";"1220.1 ";"1164.6 ";"1234.4 ";"1231.7 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132,M04,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"2527.7 ";"2629.8 ";"2765.6 ";"2781.6 ";"2777.3 ";"2589.9 ";"2703.0 ";"2528.4 ";"2572.0 ";"2550.9 ";"2519.2 ";"2306.3 ";"2476.4 ";"2315.0 ";"2158.0 ";"1876.0 ";"1986.6 ";"2080.9 ";"1907.0 ";"1751.6 ";"1698.0 ";"1557.8 ";"1750.9 ";"1665.8 ";"1649.0 ";"1517.0 ";"1606.0 ";"1505.0 ";"1709.0 ";"1475.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3132,M04,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"910.5 ";"1002.4 ";"997.0 ";"1006.0 ";"1073.0 ";"1152.0 ";"1094.0 ";"1088.0 ";"1164.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132,M04,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"9283.7 ";"9117.7 ";"8601.4 ";"8811.6 ";"9360.9 ";"9304.4 ";"9233.0 ";"9998.9 ";"11726.2 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132,M04,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"3425.0 p";"3594.0 ";"3434.0 ";"3632.0 ";"3508.0 ";"3292.0 ";"3594.0 ";"3593.0 ";"3317.0 ";"3311.0 ";"3125.0 ";"2987.0 ";"2872.0 ";"2888.0 ";"2842.0 ";"2748.0 ";"2669.0 ";"2526.0 ";"2398.0 ";"2475.0 ";"2346.0 ";"2291.0 ";"2650.0 ";"2651.0 ";"2370.0 ";"2468.0 ";"2466.0 ";"2624.0 ";"2533.0 ";"2346.0 ";"2136.0 ";"2006.0 ";"1978.0 ";"2041.0 ";"2069.0 ";"0.0 ";": ";": ";": ";": "
"A3132,M04,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"253.1 ";"302.3 ";"294.0 ";"243.0 ";"276.9 ";"288.6 ";"288.0 ";"288.0 ";"301.8 ";"240.0 ";"257.2 ";"214.1 ";"259.0 ";"212.1 ";"335.5 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132,M04,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"9874.6 ";"10799.3 ";"10281.1 ";"9447.8 ";"8943.8 ";"8706.1 ";"8446.4 ";"8025.0 ";"8525.3 ";"6808.0 ";"7002.0 ";"6550.0 ";"6246.0 ";"6365.0 ";"5820.0 ";"5951.8 ";"6084.8 ";"4923.5 ";"5145.2 ";"5116.9 ";"5657.8 ";"5092.0 ";"5033.8 ";"3364.6 ";"3445.6 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132,M04,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"545.2 ";"518.7 ";"504.9 ";"508.3 ";"360.2 ";"361.4 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132,M04,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"5875.7 ";"5573.8 ";"5311.3 ";"5457.9 ";"5395.1 ";"4906.9 ";"4556.3 ";"4344.0 ";"4454.0 ";"4226.0 ";"4221.0 ";"3890.0 ";"3792.7 ";"3471.0 ";"3918.0 ";"3799.0 ";"4005.0 ";"4084.0 ";"4338.0 ";"3832.0 ";"3767.0 ";"3683.0 ";"4302.0 ";"4187.0 ";"3960.0 ";"3804.0 ";"3650.0 ";"3868.0 ";"3473.0 ";"2839.0 "
"A3132,M04,THS_HD,HU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1468.0 ";"1532.0 ";"1411.0 ";"1489.0 ";"1633.0 ";"1923.0 ";"1751.0 ";"1642.0 ";"1929.0 ";"2019.0 ";"1783.0 ";"1759.0 ";"1937.0 ";"1525.0 ";"1774.0 ";"1923.0 ";"2102.0 ";"3195.0 ";"5318.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
