"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3132Z,M04,THS_HD,LU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"0.6 ";"0.7 ";"0.7 ";"0.6 ";"0.7 ";"0.9 ";"0.3 ";"0.5 ";"0.5 ";"0.4 ";"0.4 ";"0.4 ";"0.5 ";"0.4 ";"0.7 ";"0.6 ";"0.7 ";"1.0 ";"1.0 ";"0.0 ";"1.0 ";"0.0 ";"1.0 ";"1.0 ";"1.0 ";"1.0 ";"1.0 "
"A3132Z,M04,THS_HD,MT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"0.0 n";"0.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,NL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"195.0 ";"200.0 ";"180.0 ";"175.0 ";"130.8 ";"129.0 ";"182.0 ";"159.0 ";"153.0 ";"200.0 ";"456.0 ";"139.0 ";"219.0 ";"177.4 ";"179.0 ";"151.0 ";"195.0 ";"100.0 ";"82.0 ";"85.0 ";"88.0 ";"107.0 ";"98.0 ";"68.0 ";"68.0 ";"64.0 ";"52.0 ";"57.0 ";"52.0 ";"61.0 ";"53.0 ";"28.0 ";"16.0 ";"27.0 ";"35.0 ";"27.0 ";"20.0 ";"19.0 ";"17.0 ";"22.0 "
"A3132Z,M04,THS_HD,PL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"320.4 p";"343.1 ";"388.2 ";"304.2 ";"346.1 ";"358.8 ";"273.7 ";"265.1 ";"315.1 ";"349.0 ";"481.2 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,PT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";24-Jun;24-Jun;"37.0 ";"26.0 ";"24.0 ";"29.0 ";"43.0 ";"13.0 ";"29.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,RO";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"53.3 p";"62.9 ";"51.6 ";"84.1 ";"55.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,SE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"31.0 ";"32.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,SI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";28-Jan;"21.0 ";"22.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,SK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"75.2 ";"63.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M04,THS_HD,UK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"60.5 ";"64.2 ";"71.4 ";"48.4 ";"62.3 ";"59.7 ";"59.4 ";"65.5 ";"75.1 ";"71.6 ";"90.0 ";"108.1 ";"109.5 ";"107.2 ";"107.0 ";"125.1 ";"121.0 ";"106.1 ";"124.3 ";"148.0 ";"138.0 ";"132.0 ";"101.0 ";"87.0 ";"169.0 ";"0.0 ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,AT";"103.40 ";"99.42 ";"99.26 ";"105.34 ";"93.21 ";"105.63 ";"102.81 ";"99.00 ";"100.86 ";"96.84 ";"95.40 ";"77.32 ";"72.14 ";"70.56 ";"68.65 ";"53.91 ";"59.51 ";"56.35 ";"50.94 ";"63.11 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,BE";"268.28 ";"272.27 ";"191.47 ";"197.07 ";"180.94 ";"172.10 ";"184.11 ";"168.33 ";"156.23 ";"130.43 ";"114.14 ";"118.38 ";"105.54 ";"114.61 ";"105.50 ";"107.22 ";"95.09 ";"89.10 ";"80.79 ";"86.10 ";"87.88 ";"82.91 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,BG";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"34.79 ";": ";"16.80 ";"48.50 ";"24.00 ";"20.80 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"69.00 ";"65.00 ";"60.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,DE";"1143.50 ";"1123.70 ";"1158.05 ";"1050.75 ";"1026.19 e";"1092.61 ";"1092.19 ";"1131.07 ";"1015.06 ";"938.49 ";"838.78 ";"768.07 ";"721.37 ";"628.72 ";"602.67 ";"572.36 ";"597.84 ";"528.52 ";"475.14 ";"458.06 ";"446.13 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,DK";"6.00 ";"7.00 ";"6.00 ";"6.00 ";"6.00 ";"6.00 ";"6.00 ";"6.00 ";"6.00 ";"7.00 ";"8.00 ";"8.00 ";"9.00 ";"10.00 ";": ";": ";": ";": ";": ";"9.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,ES";"1028.76 p";"884.98 ";"774.94 ";"1072.00 ";"891.11 ";"831.45 ";"763.73 ";"819.90 ";"839.69 ";"666.29 ";"1059.88 ";": ";"805.52 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"17.20 ";"14.80 ";"18.20 ";"14.40 ";"14.90 ";Oct-50;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,FR";"666.00 ";"647.00 ";"677.00 ";"652.00 p";"577.00 ";"565.00 ";"536.00 ";"557.00 ";"508.00 ";"499.00 ";"495.00 ";"518.00 ";"542.00 ";"474.00 ";"463.00 ";"413.00 ";"385.00 ";"319.00 ";"373.15 ";"379.90 ";"366.00 ";"359.70 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,HU";"200.00 ";"193.00 ";"171.00 ";"200.00 ";"188.00 ";"189.00 ";"160.00 ";"148.00 ";"144.00 ";"167.00 ";"153.00 ";": ";"239.00 ";"214.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,IE";"18.30 ";"15.80 ";Nov-61;"15.25 ";Sep-17;Oct-74;"13.92 ";Jul-82;Sep-52;Jun-95;"20.83 ";Nov-50;7-Oct;Jul-79;May-26;Jul-19;5-Apr;Feb-74;Jan-83;"0.54 ";Mar-92;May-23;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,IS";": ";": ";": ";"0.00 d";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,IT";"2209.95 ";"2237.48 ";"2287.79 ";"2275.14 ";"2234.95 ";"2167.70 ";"2319.97 ";"1883.48 ";"1987.84 ";"2004.64 ";"1991.35 ";"1951.94 ";"1985.52 ";"1840.95 ";"1894.40 ";"1903.00 ";"1803.00 ";"1687.00 ";"1844.00 ";"1801.00 ";"1843.00 ";"1780.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,LT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"78.80 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,LU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"2.00 ";Feb-28;Jan-58;Jan-58;Jan-58;Feb-30;Jan-53;Feb-54;Jan-97;Jan-18;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,LV";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";Nov-80;": ";"14.40 ";"14.60 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132Z,M05_M06,THS_HD,NL";"473.55 ";"471.68 ";"444.61 ";"407.42 ";"394.91 ";"392.00 ";"358.00 ";"370.00 ";"312.00 ";"300.00 ";"300.00 ";"261.00 ";"195.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
