"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3132X,M04,THS_HD,IT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1300.0 ";"1250.0 ";"1282.0 ";"1211.0 ";"1291.1 ";"1330.1 ";"1379.7 ";"1509.5 ";"1535.9 ";"1493.0 ";"1639.3 ";"1613.4 ";"1598.3 ";"1409.0 ";"1405.9 ";"1417.5 ";"1406.2 ";"1382.1 ";"1423.3 ";"1442.9 ";"1547.0 ";"1482.0 ";"1376.0 ";"1181.0 ";"1185.0 ";"1087.0 ";"1010.0 ";"1245.0 ";"1298.0 ";"1114.0 "
"A3132X,M04,THS_HD,LU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"12.0 ";11-Sep;11-Jul;11-Jan;9-Jan;10-Aug;11-Sep;11-May;9-May;9-Sep;8-Jul;8-Jul;9-Apr;10-Jan;11-Feb;"10.0 ";"12.0 ";"12.0 ";"13.0 ";"11.0 ";"11.0 ";"13.0 ";"14.0 ";"19.0 ";"21.0 ";"17.0 ";"17.0 "
"A3132X,M04,THS_HD,MT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"17.0 ";17-Aug;12-Apr;12-Feb;11-Mar;"11.0 ";22-Mar;23-May;20-Jun;18-May;19-Mar;18-Jul;21-May;18-Apr;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,NL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1805.0 ";"1770.0 ";"1760.0 ";"1726.1 ";"1831.4 ";"1808.0 ";"1810.0 ";"2226.0 ";"2139.0 ";"2170.0 ";"1820.0 ";"2448.0 ";"2656.0 ";"2602.9 ";"2538.0 ";"2550.0 ";"2460.0 ";"2781.0 ";"2724.0 ";"2695.0 ";"2707.0 ";"2770.0 ";"2530.0 ";"2501.0 ";"2209.0 ";"2174.0 ";"2063.0 ";"2068.0 ";"2228.0 ";"2085.0 ";"1971.0 ";"1762.0 ";"1532.0 ";"1547.0 ";"1554.0 ";"1504.0 ";"1392.0 ";"1380.0 ";"1192.0 ";"1067.0 "
"A3132X,M04,THS_HD,PL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"2499.5 p";"2827.8 ";"2834.0 ";"2726.6 ";"2806.5 ";"3000.2 ";"2736.6 ";"2591.8 ";"2680.6 ";"3007.9 ";"2697.1 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,PT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"522.0 ";"522.0 ";"563.0 ";"555.0 ";"467.0 ";"501.0 ";"434.0 ";"460.0 ";"479.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,RO";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1202.8 p";"1472.4 ";"1293.3 ";"1343.4 ";"1473.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,SE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"376.0 ";"383.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,SI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"145.9 ";"123.0 ";"119.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,SK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"231.4 ";"276.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M04,THS_HD,UK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1841.8 ";"1739.9 ";"1715.7 ";"1700.3 ";"1768.3 ";"1681.2 ";"1694.2 ";"1717.5 ";"1710.8 ";"1799.9 ";"1880.7 ";"1941.2 ";"1947.4 ";"1871.8 ";"1742.8 ";"1800.3 ";"1812.0 ";"1726.3 ";"1721.6 ";"1700.0 ";"1609.0 ";"1717.0 ";"1649.0 ";"1693.0 ";"1966.0 ";"0.0 ";": ";": ";": ";": "
"A3132X,M05_M06,THS_HD,AT";"517.95 ";"523.85 ";"506.12 ";"513.33 ";"536.62 ";"534.83 ";"549.37 ";"566.09 ";"580.10 ";"594.37 ";"603.33 ";"593.21 ";"592.71 ";"603.35 ";"615.14 ";"593.84 ";"634.79 ";"666.08 ";"622.10 ";"615.08 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M05_M06,THS_HD,BE";"1335.43 ";"1342.27 ";"1523.30 ";"1420.33 ";"1463.37 ";"1512.51 ";"1548.40 ";"1562.86 ";"1566.31 ";"1542.26 ";"1495.76 ";"1523.17 ";"1501.36 ";"1493.89 ";"1471.50 ";"1528.28 ";"1514.63 ";"1519.23 ";"1537.72 ";"1529.96 ";"1595.82 ";"1575.02 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M05_M06,THS_HD,BG";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"172.12 ";": ";"189.00 ";"187.80 ";"175.00 ";"153.90 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M05_M06,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"631.00 ";"568.00 ";"596.00 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3132X,M05_M06,THS_HD,DE";"5219.10 ";"5563.60 ";"5530.29 ";"5444.52 ";"5774.51 e";"5721.51 ";"5800.08 ";"5775.58 ";"5275.49 ";"5351.87 ";"5545.75 ";"5547.38 ";"5457.43 ";"5522.88 ";"5655.79 ";"5039.88 ";"5343.80 ";"5210.10 ";"5307.39 ";"5286.90 ";"5435.13 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
