"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3131,M04,THS_HD,AT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"946.1 ";"1004.9 ";"951.9 ";"927.3 ";"953.7 ";"986.1 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3131,M04,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"1517.5 ";"1435.0 ";"1717.3 ";"1797.7 ";"1739.4 ";"1575.2 ";"1763.2 ";"1665.3 ";"1773.0 ";"1793.0 ";"1564.7 ";"1709.2 ";"1528.0 ";"1494.0 ";"1640.0 ";"1362.0 ";"1374.2 ";"1293.9 ";"1340.0 ";"1323.9 ";"1320.0 ";"1261.6 ";"1185.1 ";"1216.0 ";"1318.0 ";"1264.0 ";"1276.0 ";"1265.0 ";"1272.0 ";"1115.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3131,M04,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"554.4 ";"616.7 ";"633.0 ";"654.0 ";"696.0 ";"765.0 ";"794.0 ";"749.0 ";"777.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3131,M04,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"6424.2 ";"6117.0 ";"5896.0 ";"6235.6 ";"6374.8 ";"6506.3 ";"6535.4 ";"6824.4 ";"8307.7 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3131,M04,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"3352.0 p";"3899.0 ";"3625.0 ";"3725.0 ";"3817.0 ";"3672.0 ";"3668.0 ";"3595.0 ";"3386.0 ";"3322.0 ";"3280.0 ";"3226.0 ";"3162.0 ";"3217.0 ";"3152.0 ";"3198.0 ";"3056.0 ";"2852.0 ";"2782.0 ";"2766.0 ";"2694.0 ";"2751.0 ";"2620.0 ";"2586.0 ";"2400.0 ";"2684.0 ";"2642.0 ";"2772.0 ";"2730.0 ";"2594.0 ";"2300.0 ";"2193.0 ";"2154.0 ";"2284.0 ";"2292.0 ";"0.0 ";": ";": ";": ";": "
"A3131,M04,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"214.5 ";"283.5 ";"280.0 ";"243.0 ";"277.5 ";"279.4 ";"277.8 ";"292.0 ";"285.9 ";"277.6 ";"277.1 ";"277.3 ";"304.0 ";"274.0 ";"329.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3131,M04,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"5709.3 ";"6345.0 ";"5813.4 ";"5446.7 ";"6100.3 ";"5274.0 ";"5270.9 ";"4900.0 ";"5402.8 ";"5195.0 ";"4661.0 ";"4487.0 ";"4347.0 ";"4318.0 ";"4816.0 ";"5087.0 ";"4310.3 ";"4070.1 ";"4200.8 ";"4196.5 ";"4125.3 ";"4331.0 ";"4316.8 ";"3437.3 ";"3555.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3131,M04,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"319.8 ";"341.1 ";"319.5 ";"287.4 ";"256.2 ";"257.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3131,M04,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"4727.3 ";"4474.1 ";"4376.1 ";"4243.6 ";"4050.6 ";"3710.3 ";"3494.1 ";"3391.0 ";"3414.0 ";"3423.0 ";"3502.0 ";"3506.0 ";"3307.8 ";"3062.0 ";"2755.0 ";"3076.0 ";"2804.0 ";"2799.0 ";"2826.0 ";"2654.0 ";"2489.0 ";"2588.0 ";"2481.0 ";"2902.0 ";"2754.0 ";"2707.0 ";"2820.0 ";"2780.0 ";"2679.0 ";"2553.0 "
"A3131,M04,THS_HD,HU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"913.0 ";"1003.0 ";"988.0 ";"950.0 ";"1089.0 ";"1222.0 ";"1167.0 ";"1205.0 ";"1352.0 ";"1640.0 ";"1494.0 ";"1378.0 ";"1629.0 ";"1421.0 ";"1586.0 ";"1886.0 ";"1897.0 ";"2655.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
