"animals,month,unit,geo\time";2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969
"A3133,M04,THS_HD,AT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";11-Jul;12-Aug;"13.0 ";13-Mar;14-Feb;14-Jan;14-Jun;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3133,M04,THS_HD,BE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";11-Jan;13-Mar;15-May;16-Jul;18-Sep;16-Apr;17-Feb;17-Jan;17-Jun;20-Jun;14-Mar;28-Jun;23-Jun;"22.0 ";"24.0 ";"25.0 ";25-May;29-Feb;"29.0 ";29-Feb;"29.0 ";29-Jan;30-May;29-Jun;"31.0 ";"31.0 ";"30.0 ";"29.0 ";"32.0 ";"29.0 ";"0.0 ";"0.0 ";"0.0 ";"0.0 "
"A3133,M04,THS_HD,CZ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";4-May;6-May;"6.0 ";"7.0 ";"7.0 ";"9.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3133,M04,THS_HD,DE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"72.4 ";"74.3 ";"76.7 ";"82.2 ";"85.5 ";"95.7 ";"99.0 ";"100.0 ";"110.5 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3133,M04,THS_HD,DK";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"13.0 p";"16.0 ";"16.0 ";"20.0 ";"25.0 ";"26.0 ";"31.0 ";"30.0 ";"29.0 ";"33.0 ";"35.0 ";"33.0 ";"35.0 ";"36.0 ";"35.0 ";"37.0 ";"38.0 ";"36.0 ";"37.0 ";"35.0 ";"37.0 ";"40.0 ";"40.0 ";"38.0 ";"35.0 ";"39.0 ";"41.0 ";"42.0 ";"42.0 ";"41.0 ";"38.0 ";"37.0 ";"36.0 ";"36.0 ";"41.0 ";"0.0 ";": ";": ";": ";": "
"A3133,M04,THS_HD,EL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";10-Aug;11-Aug;"12.0 ";"11.0 ";12-Feb;13-Mar;16-Feb;"14.0 ";13-Mar;12-Aug;12-Apr;13-Mar;"16.0 ";14-Apr;16-Feb;": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3133,M04,THS_HD,ES";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"62.1 ";"65.2 ";"67.2 ";"80.5 ";"83.1 ";"78.2 ";"83.7 ";"81.0 ";"78.5 ";"85.0 ";"82.0 ";"81.0 ";"76.0 ";"97.0 ";"92.0 ";"109.0 ";"105.8 ";"100.5 ";"98.9 ";"103.8 ";"111.7 ";"103.0 ";"79.0 ";"77.9 ";"83.8 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3133,M04,THS_HD,FI";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";6-May;6-Mar;6-Feb;6-May;6-Feb;"6.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3133,M04,THS_HD,FR";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"48.2 ";"48.1 ";"52.4 ";"56.9 ";"52.1 ";"53.4 ";"55.2 ";"56.0 ";"63.0 ";"61.0 ";"63.0 ";"74.0 ";"67.6 ";"66.0 ";"66.0 ";"71.0 ";"69.0 ";"71.0 ";"74.0 ";"70.0 ";"72.0 ";"70.0 ";"71.0 ";"74.0 ";"69.0 ";"69.0 ";"75.0 ";"75.0 ";"62.0 ";"53.0 "
"A3133,M04,THS_HD,HU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"7.0 ";"8.0 ";"9.0 ";"10.0 ";"10.0 ";"12.0 ";"13.0 ";"13.0 ";"14.0 ";"15.0 ";"14.0 ";"15.0 ";"16.0 ";"15.0 ";"16.0 ";"18.0 ";"22.0 ";"27.0 ";"27.0 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3133,M04,THS_HD,IE";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"5.0 ";5-Feb;5-Apr;6-Jan;6-Feb;6-Jul;6-Jun;"6.0 ";5-Feb;"5.0 ";4-Aug;"5.0 ";4-Sep;4-Sep;"5.0 ";4-May;4-Jan;4-Feb;4-Jan;3-Aug;"3.0 ";"3.0 ";2-Jun;2-Jul;"0.0 ";": ";": ";": ";": "
"A3133,M04,THS_HD,IT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"40.0 ";"37.0 ";"38.0 ";"37.0 ";"36.2 ";"40.8 ";"41.2 ";"45.6 ";"49.8 ";"40.6 ";"45.5 ";"45.3 ";"45.0 ";"52.0 ";"53.0 ";"52.8 ";"52.5 ";"52.1 ";"53.0 ";"52.0 ";"53.0 ";"61.0 ";"56.0 ";"55.0 ";"55.0 ";"53.0 ";"52.0 ";"52.0 ";"56.0 ";"40.0 "
"A3133,M04,THS_HD,LU";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"0.7 ";"0.7 ";"0.7 ";"0.7 ";"0.5 ";"0.5 ";"0.6 ";"0.7 ";"0.7 ";"0.7 ";"0.7 ";"0.8 ";"0.8 ";"0.7 ";"0.7 ";"0.8 ";"0.9 ";"1.0 ";"1.0 ";"1.0 ";"1.0 ";"1.0 ";"1.0 ";"1.0 ";"1.0 ";"1.0 ";"1.0 "
"A3133,M04,THS_HD,MT";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"0.4 ";"0.4 ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": "
"A3133,M04,THS_HD,NL";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";": ";"10.0 ";"15.0 ";"15.0 ";23-Jul;16-Apr;"23.0 ";"22.0 ";"15.0 ";"42.0 ";"39.0 ";"45.0 ";"24.0 ";"19.0 ";28-Sep;"50.0 ";"30.0 ";"38.0 ";"42.0 ";"42.0 ";"65.0 ";"64.0 ";"57.0 ";"53.0 ";"51.0 ";"48.0 ";"46.0 ";"44.0 ";"47.0 ";"48.0 ";"48.0 ";"44.0 ";"34.0 ";"32.0 ";"31.0 ";"29.0 ";"29.0 ";"28.0 ";"28.0 ";"26.0 ";"23.0 "
